節気名,読み,開始年月日,終了年月日,本文,画像URL,raw_title,slug
小暑,しょうしょ,7/7,7/21,"二十四節気が夏至から小暑へと変わりました。長く続いていた梅雨もそろそろ終わりを告げ、いよいよ本格的な暑さが始まります。ですが、梅雨明け頃は湿った空気が梅雨前線に流れ込み、集中豪雨となることも。

夏至を境にして日足は徐々に短くなっていきますが、梅雨明け後は、強い日差しと共に気温が一気に上がるので、注意が必要な時季でもあります。この小暑と次の暦である大暑を合わせたおよそ１ヵ月を、一年で一番暑い期間ということで「暑中」と呼びます。小暑までに出すのは「梅雨見舞い」、小暑から大暑までが「暑中見舞い」、そして8月7日頃の立秋以降は「残暑見舞い」となります。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/bit_sweltering.png,二十四節気「小暑 (しょうしょ)」 7/7～7/21頃,bit_sweltering
大暑,たいしょ,7/22,8/6,"二十四節気が小暑から大暑へと変わりました。梅雨明け直後の最も夏らしく暑い時期です。夕立ちや雷も多く、気温もこれからどんどん上がっていきます。

梅雨明け後の10日間は「梅雨明け十日」と言われ、一年で最も暑さが厳しくなる頃です。夏バテ防止にうなぎを食べる「土用の丑の日」も、この頃です。大暑は、夏の最後の二十四節気。8月7日頃から二十四節気は「立秋」となり、まだまだ暑い頃ですが、暦の上では早くも秋の始まりです。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/most_sweltering.png,二十四節気「大暑 (たいしょ)」 7/22～8/6頃,most_sweltering
立秋,りっしゅう,8/7,8/22,"二十四節気が大暑から立秋へと変わりました。まだまだ暑い盛りですが、暦の上では早くも秋の始まりです。日中はまだ残暑が厳しく、1年で最も気温が高くなる時期ですが、立秋の日が暑さの頂点とされ、朝夕には少しばかり涼やかな風も吹き始めます。

夏から秋へ変わるこの時季の、暑さと涼しさが混在する空を「行き合いの空」といいますが、巻雲などの秋の雲も見られるようになり、空にも小さな秋の気配が感じられるようになります。また、この日以降の暑さは残暑といい、季節のあいさつも「暑中見舞い」から「残暑見舞い」に変わります。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/autumn_begins.png,二十四節気「立秋 (りっしゅう)」 8/7～8/22頃,autumn_begins
処暑,しょしょ,8/23,9/6,"二十四節気が立秋から処暑へと変わりました。「処」は落ち着くという意味で、厳しい残暑もいよいよ和らぎ、朝夕は涼しさも感じられる頃。心地よい虫の声にも秋の気配が漂います。

とは言え、「秋暑」といって暑さがぶり返し、夏の疲れが出やすくなるのもこの時期。夏を惜しみながらも、秋への準備を始める目安の候です。また、穀物が実り始め、収穫までもう一息というところですが、処暑の頃は台風が多く、農家では注意が必要な時期でもあります。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/heat_withdraws.png,二十四節気「処暑 (しょしょ)」 8/23～9/6頃,heat_withdraws
白露,はくろ,9/7,9/21,"二十四節気が処暑から白露へと変わり、朝の草花に露が宿り始める頃となりました。昼夜の気温差が大きくなるこの時季は、朝晩に空気が冷やされ露を結びます。湿度を含んだ空気が冷気に触れてできる水滴は、朝晩の気温が低くなっている証拠です。

朝の光に白く輝く露のことを、古の人は「白露」と表現しました。白露は、露の美称「しらつゆ」のことで、秋の季語でもあります。「露華 (ろか)」「露珠 (ろしゅ)」「銀露 (ぎんろ)」「月露 (げつろ)」「月の雫」これらはすべて、きらきらと輝く露の美しさを表したもの。また、「玉露」も本来、露を美しい玉に見立てた言葉です。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/shining_dews.png,二十四節気「白露 (はくろ)」 9/7～9/21頃,shining_dews
秋分,しゅうぶん,9/22,10/7,"二十四節気が白露から秋分へと変わりました。秋分は、太陽が真東から昇って真西に沈み、昼夜の長さがほぼ同じになる頃です。太陽が極楽浄土があるという真西に沈み、先祖と通じ合える日とされていることから、秋分の日を中心とした一週間は、お墓参りをする習慣があります。

「暑さ寒さも彼岸まで」という言葉があるように、日中の暑さも秋分の頃には和らぎ始め、秋の気配が深まっていきます。野には薄の穂が顔を出し、空には秋雲がたなびくようになり、本格的な秋の訪れを感じられる季節です。これから次第に日が短くなり、秋の夜長に向かいます。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/autumn_equinox.png,二十四節気「秋分 (しゅうぶん)」 9/22～10/7頃,autumn_equinox
寒露,かんろ,10/8,10/22,"二十四節気が秋分から寒露へと変わり、草木に冷たい露が宿る頃となりました。朝夕はひんやりと肌寒く、本格的に秋も深まる季節です。空気も澄み渡り、夜空を見上げると、冴え冴えと輝く月が見られます。

この頃になると、秋の長雨が終わり、秋晴れの過ごしやすい日が多くなります。まさに「秋麗 (あきうらら)」という言葉がぴったりの日々ですが、寒露はちょうど稲刈りが終わる頃。農家では、その他の農作物の収穫もたけなわとなり、繁忙を極めます。10月23日頃からは二十四節気が「霜降」へと変わり、早くも冬の兆しが見え始めます。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/late_autumn.png,二十四節気「寒露 (かんろ)」 10/8～10/22頃,late_autumn
霜降,そうこう,10/23,11/6,"二十四節気が寒露から霜降へ変わりました。霜降は、朝露がついに霜に変わる、そんな時季です。秋もいよいよ終わりが近づき、朝晩の冷え込みが厳しくるこの頃、北国や山里では霜が降りはじめますが、平野では12月の初旬頃になります。草木は枯れ、秋を惜しむかのように山は紅葉で彩られます。

近頃だんだんと日が短くなり、冬の兆しが感じられるようになってきました。「霜降」は秋の最後の二十四節気。11月7日頃からはとうとう「立冬」を迎えます。コートや暖房器具の準備など、そろそろ本格的に冬支度を始めるのが良さそうです。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/frost_descent.png,二十四節気「霜降 (そうこう)」 10/23～11/6頃,frost_descent
立冬,りっとう,11/7,11/21,"二十四節気が霜降から立冬へと変わり、暦の上では冬の始まりです。鮮やかだった木々の葉もだんだんと色あせ、冬枯れの様子が目立つようになります。日が暮れるのも一段と早まり、いよいよ冬の訪れを感じられる頃です。冷たい木枯らしが吹き、北国からは初雪の便りも届き始めます。

「木枯らし」とは、秋から冬へと変わる時期に北寄りの冷たく強い風のことですが、気象庁では東京と大阪に限って「木枯し1号」を発表しています。これには条件があり、10月半ばから11月末にかけて、西高東低の冬型の気圧配置になったとき、初めて吹く風速8メートル以上の北寄りの風を「木枯らし1号」と認定します。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/winter_begins.png,二十四節気「立冬 (りっとう)」 11/7～11/21頃,winter_begins
小雪,しょうせつ,11/22,12/6,"二十四節気が立冬から小雪へ変わりました。木々の葉が落ち、北国や山間部では初雪が舞い始める頃です。日を追うごとに冷え込みが増し、外はもう冬の気配。ですが、冬とはいえ、雪も寒さもまだ少しであることから「小雪」と言われたのだそう。

一方で、この時季は移動性高気圧に覆われると、平野部では暖かくなることも多くなります。そんな春のように穏やかな日を「小春日和 (こはるびより)」といいます。また、小春日和が続くと、春と勘違いしたのか、桜やたんぽぽなどの春の花が咲くこともあり、この花たちは「帰り花」「忘れ花」「狂い花」などと呼ばれます。干天が続いたり、台風などで木が傷んでしまった年に多いと言います。12月7日頃から二十四節気は「大雪 (たいせつ)」に変わり、本格的な冬の訪れはもう目前です。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/begin_to_snow.png,二十四節気「小雪 (しょうせつ)」 11/22～12/6頃,begin_to_snow
大雪,たいせつ,12/7,12/20,"二十四節気が小雪から大雪へと変わり、山だけでなく平野でも本格的に雪が降り出す頃となりました。木々の葉もすっかり散り終え、いよいよ冬将軍の到来です。

日中は暖かいこともありますが、朝晩は冷え込みが厳しく、池や川には氷を見るようになります。冬の寒さが日ごとに加わり、動物たちも冬ごもりを始め、鰤 (ぶり) や鰰 (はたはた) など冬の魚の漁も盛んになります。また、新しい年の準備を始める「正月事始め」もこの時期からです。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/snows_steadily.png,二十四節気「大雪 (たいせつ)」 12/7～12/20頃,snows_steadily
冬至,とうじ,12/21,1/4,"二十四節気が大雪から冬至へと変わりました。冬至日は、太陽が最も低い位置にあり、夏至とは反対に一年で最も昼が短く、夜が長くなる日ですが、この日より徐々に日足が伸びていきます。そのため、中国では「一陽来復 (いちようらいふく)」といって、冬至の日を極限まで弱まった太陽が復活する日、一年の始まりと考えられてきました。世界各地で「太陽の誕生日」として祝う風習は多く見られ、クリスマスも冬至祭に由来しています。

暦の上では冬の半ばで、冬至日を境に少しずつ日は長くなるとはいえ、「冬至冬なか冬はじめ」という言葉もあるように、寒さはむしろこれからが本番です。気候は、冬至を過ぎる頃からますます寒くなり、年末の慌ただしさもあり体調を崩しがちな頃です。そのため、冬至日に栄養価の高いかぼちゃを食べ、柚子湯に入り体を温め、本格化する冬を前に無病息災を願います。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/winter_solstice.png,二十四節気「冬至 (とうじ)」 12/21～1/4頃,winter_solstice
小寒,しょうかん,1/5,1/19,"二十四節気が冬至から小寒に変わり、いよいよ「寒の入り」です。この後に大寒を控え、寒気がまだ最大にならないという意味ですが、「小寒の氷、大寒に解く」という故事もあり、実際は小寒の頃の方が寒さが厳しいことも。池や湖の氷も厚みを増し、本格的な冬の季節です。

小寒から4日目は「寒四朗」といい、この日の天候が麦の収穫を左右すると信じられており、また、9日目に降る雨は「寒九の雨」と呼ばれ、豊作の兆しとして喜ばれてきました。寒九の日に汲んだ「寒九の水」で薬を飲むと良く効く、という言い伝えもありました。小寒と次の節気・大寒を合わせた、節分までのおよそ一ヵ月を「寒中」「寒の内」といいます。一年で最も寒い時期で、この寒さを利用して氷餅や凍み豆腐、寒天作りなどの ”寒の仕事” が始まります。寒稽古や寒中水泳が行われるのも、この “寒” の時期で、この間に出すのが「寒中見舞い」です。2月4日頃の立春には、「寒の明け」を迎えます。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/bit_frigid.png,二十四節気「小寒 (しょうかん)」 1/5～1/19頃,bit_frigid
大寒,だいかん,1/20,2/3,"二十四節気が小寒から大寒に変わり、一年で最も寒さが厳しくなる頃となりました。大寒は、冬の季節の最後の節気。春は目前ながらますます寒さ厳しいこの頃は、寒稽古や寒垢離 (かんごり)、寒念仏 (かんねぶつ) などの寒行が行われます。

一方で、昔から日本では、この寒気を利用して様々な食べ物を仕込んできました。寒風にさらして作る凍み豆腐や寒天などの乾物。そして、酒や醤油や味噌などの発酵食品。特に、この寒の時期に汲んだ水は「寒の水」と呼ばれ、寒さと乾燥のため雑菌が少なく腐りにくいとされることから、清らかな水が必要な酒や味噌を仕込むのに用いられてきました。大寒の最後の日が節分で、翌日2月4日は立春です。これからは、日が次第に長くなり、少しずつ暖かくなっていきます。「三寒四温」という言葉のように、厳しい寒さが3日続くと、その後の4日は暖かくなり、寒い中にも少しだけ春の気配を感じられます。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/most_frigid.png,二十四節気「大寒 (だいかん)」 1/20～2/3頃,most_frigid
